,year,0,1,2
0,1991,13.0438573,83.84903648,3.107106217
1,1993,12.13921837,84.75721311,3.103568523
2,1994,13.02844306,83.89502651,3.076530432
3,1995,13.95595065,83.13871804,2.905331305
4,1996,13.45321905,83.42362876,3.123152187
5,1997,13.80623038,83.0981609,3.095608711
6,1998,15.2075363,81.70367769,3.088786015
7,1999,13.70452168,83.20732404,3.088154284
8,2000,15.33982079,81.57076146,3.089417746
9,2001,12.60935265,84.27848728,3.112160066
10,2002,15.29079846,81.62812265,3.081078896
11,2003,14.98011311,81.91240164,3.107485255
12,2004,15.17771859,81.70051903,3.121762378
13,2005,15.0320414,81.89079644,3.077162163
14,2006,15.72050195,81.1517974,3.12770065
15,2007,15.33994714,81.53260491,3.127447958
16,2008,14.20308386,82.6856405,3.111275642
17,2009,14.39411934,82.50256483,3.10331583
18,2010,14.33220969,82.51722099,3.150569316
19,2011,12.21110937,84.67003421,3.118856415
20,2012,13.84880906,83.02361664,3.127574304
21,2013,14.72224047,82.16168273,3.116076798
22,2014,16.54806968,80.37287296,3.079057356
23,2015,14.70063527,82.22157084,3.077793894
24,2016,13.52422562,83.35350661,3.122267763
25,2017,15.15308108,81.75080483,3.096114096
26,2018,14.63354543,82.27362548,3.092829094
27,2019,14.0512157,82.85810309,3.090681208
28,2020,16.50890235,80.39169855,3.099399097
29,2021,18.01734986,78.88009238,3.102557753
