,year,overall_accuracy,kappa_index,error_matrices
0,1991,0.9361702127659575,0.8832781456953643,"[[29, 3, 0], [3, 51, 0], [0, 0, 8]]"
1,1993,0.9753086419753086,0.9565450643776826,"[[26, 0, 0], [2, 44, 0], [0, 0, 9]]"
2,1994,0.9479166666666666,0.8954248366013071,"[[20, 5, 0], [0, 61, 0], [0, 0, 10]]"
3,1995,0.961038961038961,0.9108108108108108,"[[13, 2, 0], [1, 54, 0], [0, 0, 7]]"
4,1996,0.9680851063829787,0.9338183524994133,"[[20, 2, 0], [1, 62, 0], [0, 0, 9]]"
5,1997,0.9158878504672897,0.8486087093224335,"[[32, 6, 0], [3, 56, 0], [0, 0, 10]]"
6,1998,0.9629629629629629,0.932814930015552,"[[26, 2, 0], [2, 63, 0], [0, 0, 15]]"
7,1999,0.978494623655914,0.9596704249783174,"[[22, 1, 0], [1, 57, 0], [0, 0, 12]]"
8,2000,0.9895833333333334,0.9813628421665699,"[[33, 0, 0], [1, 53, 0], [0, 0, 9]]"
9,2001,0.9655172413793104,0.9369260512324797,"[[25, 3, 0], [0, 50, 0], [0, 0, 9]]"
10,2002,0.9759036144578314,0.9516317016317017,"[[24, 0, 0], [2, 52, 0], [0, 0, 5]]"
11,2003,0.9574468085106383,0.9129226493747106,"[[23, 2, 0], [2, 60, 0], [0, 0, 7]]"
12,2004,0.9529411764705882,0.9108079748163692,"[[26, 4, 0], [0, 49, 0], [0, 0, 6]]"
13,2005,0.9514563106796117,0.9131973706388,"[[29, 3, 0], [2, 57, 0], [0, 0, 12]]"
14,2006,0.925531914893617,0.8689243027888446,"[[22, 3, 0], [4, 51, 0], [0, 0, 14]]"
15,2007,0.9411764705882353,0.8813493602171384,"[[26, 3, 0], [3, 63, 0], [0, 0, 7]]"
16,2008,0.9166666666666666,0.8329070758738277,"[[22, 3, 0], [4, 50, 0], [0, 0, 5]]"
17,2009,0.9634146341463414,0.9308600337268128,"[[22, 2, 0], [1, 49, 0], [0, 0, 8]]"
18,2010,0.9523809523809523,0.897748021911138,"[[23, 2, 0], [2, 54, 0], [0, 0, 3]]"
19,2011,0.9537037037037037,0.8993100876375163,"[[24, 3, 0], [2, 72, 0], [0, 0, 7]]"
20,2012,0.9509803921568627,0.9059214167127835,"[[24, 3, 0], [2, 62, 0], [0, 0, 11]]"
21,2013,0.9484536082474226,0.8983441626493396,"[[19, 3, 0], [2, 61, 0], [0, 0, 12]]"
22,2014,0.9662921348314607,0.9353040949842503,"[[24, 1, 0], [2, 54, 0], [0, 0, 8]]"
23,2015,0.9468085106382979,0.9090557275541795,"[[35, 2, 0], [3, 44, 0], [0, 0, 10]]"
24,2016,0.9010989010989011,0.8211399868967023,"[[20, 7, 0], [2, 50, 0], [0, 0, 12]]"
25,2017,0.9553571428571429,0.9156626506024097,"[[28, 3, 0], [2, 67, 0], [0, 0, 12]]"
26,2018,0.9770114942528736,0.9564564564564565,"[[23, 1, 0], [1, 53, 0], [0, 0, 9]]"
27,2019,0.9175257731958762,0.8333333333333333,"[[20, 4, 0], [4, 60, 0], [0, 0, 9]]"
28,2020,0.975609756097561,0.9554347826086956,"[[25, 1, 0], [1, 47, 0], [0, 0, 8]]"
29,2021,0.9421487603305785,0.8820991091314031,"[[29, 3, 0], [4, 76, 0], [0, 0, 9]]"
