,year,overall_accuracy,kappa_index,error_matrices
0,1991,0.6063829787234043,0.10774756285274519,"[[0, 32, 0], [0, 54, 0], [0, 5, 3]]"
1,1993,0.6049382716049383,0.12016293279022404,"[[0, 26, 0], [0, 46, 0], [0, 6, 3]]"
2,1994,0.6458333333333334,0.04309586631486378,"[[0, 25, 0], [0, 61, 0], [0, 9, 1]]"
3,1995,0.7402597402597403,0.13966480446927387,"[[0, 15, 0], [0, 55, 0], [0, 5, 2]]"
4,1996,0.723404255319149,0.23241206030150774,"[[0, 22, 0], [0, 63, 0], [0, 4, 5]]"
5,1997,0.5607476635514018,0.030086788813886087,"[[0, 38, 0], [0, 59, 0], [0, 9, 1]]"
6,1998,0.6111111111111112,0.03365999147848335,"[[0, 28, 0], [0, 65, 0], [0, 14, 1]]"
7,1999,0.6559139784946236,0.12290008841732972,"[[0, 23, 0], [0, 58, 0], [0, 9, 3]]"
8,2000,0.5729166666666666,0.0345842531272994,"[[0, 33, 0], [0, 54, 0], [0, 8, 1]]"
9,2001,0.5747126436781609,0.0,"[[0, 28, 0], [0, 50, 0], [0, 9, 0]]"
10,2002,0.6626506024096386,0.05374592833876233,"[[0, 24, 0], [0, 54, 0], [0, 4, 1]]"
11,2003,0.6595744680851063,0.0,"[[0, 25, 0], [0, 62, 0], [0, 7, 0]]"
12,2004,0.5764705882352941,0.0,"[[0, 30, 0], [0, 49, 0], [0, 6, 0]]"
13,2005,0.5728155339805825,0.0,"[[0, 32, 0], [0, 59, 0], [0, 12, 0]]"
14,2006,0.6595744680851063,0.23905894257525917,"[[0, 25, 0], [0, 55, 0], [0, 7, 7]]"
15,2007,0.6470588235294118,0.0,"[[0, 29, 0], [0, 66, 0], [0, 7, 0]]"
16,2008,0.6547619047619048,0.051771117166212646,"[[0, 25, 0], [0, 54, 0], [0, 4, 1]]"
17,2009,0.6463414634146342,0.13527272727272732,"[[0, 24, 0], [0, 50, 0], [0, 5, 3]]"
18,2010,0.6666666666666666,0.0,"[[0, 25, 0], [0, 56, 0], [0, 3, 0]]"
19,2011,0.7129629629629629,0.13555383423702552,"[[0, 27, 0], [0, 74, 0], [0, 4, 3]]"
20,2012,0.6274509803921569,0.0,"[[0, 27, 0], [0, 64, 0], [0, 11, 0]]"
21,2013,0.6494845360824743,0.0,"[[0, 22, 0], [0, 63, 0], [0, 12, 0]]"
22,2014,0.6629213483146067,0.13339824732229774,"[[0, 25, 0], [0, 56, 0], [0, 5, 3]]"
23,2015,0.5106382978723404,0.029405162738496,"[[0, 37, 0], [0, 47, 0], [0, 9, 1]]"
24,2016,0.6373626373626373,0.2074425969912905,"[[0, 27, 0], [0, 52, 0], [0, 6, 6]]"
25,2017,0.6964285714285714,0.28541940326515286,"[[0, 31, 0], [0, 69, 0], [0, 3, 9]]"
26,2018,0.7011494252873564,0.2900188323917138,"[[0, 24, 0], [0, 54, 0], [0, 2, 7]]"
27,2019,0.6804123711340206,0.09181516158260337,"[[0, 24, 0], [0, 64, 0], [0, 7, 2]]"
28,2020,0.6219512195121951,0.1258596973865199,"[[0, 26, 0], [0, 48, 0], [0, 5, 3]]"
29,2021,0.6859504132231405,0.11132586006957883,"[[0, 32, 0], [0, 80, 0], [0, 6, 3]]"
