,year,overall_accuracy,kappa_index,error_matrices
0,1991,0.6276595744680851,0.3985374771480804,"[[29, 3, 0], [32, 22, 0], [0, 0, 8]]"
1,1993,0.4444444444444444,0.006270447110141713,"[[3, 23, 0], [22, 24, 0], [0, 0, 9]]"
2,1994,0.9270833333333334,0.8558558558558559,"[[20, 5, 0], [2, 59, 0], [0, 0, 10]]"
3,1995,0.961038961038961,0.9159999999999999,"[[15, 0, 0], [3, 52, 0], [0, 0, 7]]"
4,1996,0.9574468085106383,0.9109004739336494,"[[19, 3, 0], [1, 62, 0], [0, 0, 9]]"
5,1997,0.9532710280373832,0.9158937274013518,"[[34, 4, 0], [1, 58, 0], [0, 0, 10]]"
6,1998,0.9074074074074074,0.8300818124606671,"[[22, 6, 0], [4, 61, 0], [0, 0, 15]]"
7,1999,0.989247311827957,0.9799870884441575,"[[23, 0, 0], [1, 57, 0], [0, 0, 12]]"
8,2000,0.9895833333333334,0.9812096300645917,"[[32, 1, 0], [0, 54, 0], [0, 0, 9]]"
9,2001,0.9310344827586207,0.8718074656188605,"[[22, 6, 0], [0, 50, 0], [0, 0, 9]]"
10,2002,0.9156626506024096,0.8378001116694583,"[[24, 0, 0], [7, 47, 0], [0, 0, 5]]"
11,2003,0.8936170212765957,0.7823066234367763,"[[20, 5, 0], [5, 57, 0], [0, 0, 7]]"
12,2004,0.9764705882352941,0.955844155844156,"[[28, 2, 0], [0, 49, 0], [0, 0, 6]]"
13,2005,0.8932038834951457,0.8157423971377461,"[[30, 2, 0], [9, 50, 0], [0, 0, 12]]"
14,2006,0.925531914893617,0.8657142857142857,"[[20, 5, 0], [2, 53, 0], [0, 0, 14]]"
15,2007,0.9411764705882353,0.8830275229357797,"[[27, 2, 0], [4, 62, 0], [0, 0, 7]]"
16,2008,0.8690476190476191,0.7574166447886584,"[[25, 0, 0], [11, 43, 0], [0, 0, 5]]"
17,2009,0.975609756097561,0.9542410714285714,"[[23, 1, 0], [1, 49, 0], [0, 0, 8]]"
18,2010,0.9404761904761905,0.868462261196367,"[[21, 4, 0], [1, 55, 0], [0, 0, 3]]"
19,2011,0.9259259259259259,0.8402957486136784,"[[23, 4, 0], [4, 70, 0], [0, 0, 7]]"
20,2012,0.9705882352941176,0.9435528500276701,"[[25, 2, 0], [1, 63, 0], [0, 0, 11]]"
21,2013,0.9175257731958762,0.8465796757611703,"[[21, 1, 0], [7, 56, 0], [0, 0, 12]]"
22,2014,0.9662921348314607,0.9353040949842503,"[[24, 1, 0], [2, 54, 0], [0, 0, 8]]"
23,2015,0.9680851063829787,0.9454334365325078,"[[36, 1, 0], [2, 45, 0], [0, 0, 10]]"
24,2016,0.9230769230769231,0.8623892849427524,"[[22, 5, 0], [2, 50, 0], [0, 0, 12]]"
25,2017,0.9017857142857143,0.8206173558532324,"[[28, 3, 0], [8, 61, 0], [0, 0, 12]]"
26,2018,0.9425287356321839,0.8919523099850967,"[[22, 2, 0], [3, 51, 0], [0, 0, 9]]"
27,2019,0.9381443298969072,0.875,"[[21, 3, 0], [3, 61, 0], [0, 0, 9]]"
28,2020,0.9390243902439024,0.891820580474934,"[[26, 0, 0], [5, 43, 0], [0, 0, 8]]"
29,2021,0.8760330578512396,0.7570931477516061,"[[28, 4, 0], [11, 69, 0], [0, 0, 9]]"
